Nome;Estado;NAlunos;NotaPT;NotaRed;NotaMat;NotaCH;NotaCN
Escola1;AC;11;447.94;376.36;434.45;498.27;449.08
Escola2;AC;79;468.86;377.97;438.26;506.73;463.18
Escola3;AC;29;451.54;406.21;398.72;492.44;439.33
Escola4;AC;59;461.9;360.68;408.17;507.98;449.46
Escola5;AC;48;466.49;440.42;420.99;493.86;455.47
Escola6;AC;30;462.06;359.33;389.08;496.4;445.22
Escola7;AC;40;479.03;456.5;423.79;506.56;465.76
Escola8;AC;22;446.01;410;424.11;502.73;434.21
Escola9;AC;11;426.77;261.82;412.92;480.62;422.9
Escola10;AC;49;460.35;408.16;418.34;500.14;444.5
Escola11;AC;144;454.75;382.64;410.12;497.12;447.37
Escola12;AC;36;449.8;350;404.93;491.37;451.47
Escola13;AC;265;494.31;500.19;436.36;531.75;468.78
Escola14;AC;28;507.41;500.71;459.19;539.87;476.63
Escola15;AC;35;552.3;587.43;496.29;587.39;524.75
Escola16;AC;90;478.38;446.89;426.48;510.26;470.18
Escola17;AC;34;451.3;320.59;417.11;487.25;433.37
Escola18;AC;24;440.28;330.83;389.83;479.7;422.91
Escola19;AC;47;475.9;379.57;426.28;506.94;446.46
Escola20;AC;36;455.63;423.89;432.06;492.44;449.42
Escola21;AC;34;492.63;385.88;420.34;535.53;438.39
Escola22;AC;39;460.29;388.5;422.44;502.43;462.81
Escola23;AC;109;473.77;437.98;434.33;525;462.89
Escola24;AC;27;476.04;395.56;438.95;528.81;477.41
Escola25;AC;47;470.67;404.26;426.23;509.27;453.3
Escola26;AC;25;461.16;389.6;409.8;501.47;450.06
Escola27;AC;18;447.54;333.33;408.35;508.38;420.45
Escola28;AC;43;451.16;408.84;407.27;494.63;417
Escola29;AC;12;407.24;186.67;381.26;430.63;414.74
Escola30;AC;43;458.77;432.09;419.09;514.89;450.05
Escola31;AC;416;490.66;440.97;442.39;522.28;465.64
Escola32;AC;136;480.16;413.58;419.07;508.86;456.07
Escola33;AC;65;479.56;439.7;437.2;523.62;482.15
Escola34;AC;47;478.58;407.66;432.55;504.12;439.23
Escola35;AC;261;515.97;528.2;449.13;542.94;474.23
Escola36;AC;188;497.99;433.35;444.07;541.17;475.23
Escola37;AC;57;484.24;438.6;417.9;513.96;452.26
Escola38;AC;75;471.38;380.27;427.59;511.51;451.21
Escola39;AC;108;478.51;419.26;423.32;514.42;457.12
Escola40;AC;95;481.57;454.74;433.74;519.74;455.45
Escola41;AC;128;504.72;498.91;449.4;526.97;467.11
